y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
4.0568,3,2.5,1730,4924,2.0,A0,3.0,8.0,0,1610,19.0,-1
6.05,3,2.0,1780,5720,1.0,A0,5.0,7.0,800,1620,90.0,-1
4.0,5,3.5,2780,3583,2.0,A0,3.0,8.0,600,2640,10.0,-1
4.35,3,1.5,2400,10275,1.0,A0,4.0,8.0,860,2380,51.0,-1
2.32,3,1.75,1890,13860,1.0,A0,5.0,7.0,0,1500,49.0,-1
7.05,4,3.25,3900,40962,2.0,A0,3.0,10.0,0,1730,24.0,-1
7.649,4,2.5,3420,7462,2.0,A0,3.0,9.0,0,3080,13.0,-1
4.6,2,3.5,2560,5000,1.0,A0,4.0,6.0,1280,1390,71.0,-1
2.05,3,2.5,1860,6607,2.0,A0,3.0,7.0,0,1760,26.0,-1
8.325,4,2.5,2770,8642,2.0,A0,,9.0,0,2670,28.0,-1
6.76,5,2.75,2860,5280,2.0,A0,3.0,9.0,0,3150,9.0,-1
2.15,3,2.5,2000,7414,2.0,A0,4.0,7.0,0,2000,22.0,-1
1.675,3,1.0,1020,5870,1.0,A0,,6.0,0,1160,74.0,-1
2.3995,3,1.75,1520,9600,1.0,A0,4.0,7.0,0,1590,48.0,-1
3.27,2,1.0,710,5100,1.0,A0,5.0,7.0,0,1530,110.0,-1
1.62,3,2.5,1490,2138,2.0,A0,3.0,,0,1490,10.0,-1
3.5,3,2.25,1820,8814,1.0,A0,3.0,7.0,540,1810,48.0,-1
7.99,3,2.5,1350,941,3.0,A0,3.0,9.0,0,1640,8.0,-1
1.8575,3,2.0,1560,9635,1.0,A0,3.0,7.0,300,1570,49.0,-1
15.75,4,3.25,4200,210394,2.0,A0,4.0,10.0,0,2370,22.0,-1
2.95,4,2.5,2220,5338,2.0,A0,3.0,,0,2220,14.0,-1
4.85,4,3.0,2720,7570,2.0,A0,3.0,9.0,0,1770,7.0,-1
2.05,2,1.0,990,45528,1.0,A0,4.0,,0,1730,23.0,-1
4.27,4,1.5,1700,8400,1.0,A0,3.0,7.0,0,1750,62.0,-1
1.9,4,1.0,1860,8505,1.0,A0,4.0,7.0,0,1560,60.0,-1
5.43,5,1.75,1880,18295,1.0,A0,4.0,7.0,0,2180,60.0,-1
1.73,3,1.0,1470,7680,1.0,A0,3.0,7.0,250,1470,69.0,-1
2.85,4,1.75,2010,12188,1.0,A0,4.0,7.0,860,1720,55.0,-1
6.36777,4,1.75,2220,6731,1.0,A0,4.0,,1110,1600,62.0,-1
3.35,2,1.0,1560,10125,1.0,A0,,7.0,430,1680,61.0,-1
4.55,4,2.5,2940,35996,2.0,A0,3.0,9.0,0,2890,20.0,-1
2.4995,4,2.5,2110,4178,2.0,A0,3.0,7.0,0,2300,2.0,-1
5.6786,4,2.75,2520,6398,2.0,A0,3.0,8.0,0,2520,1.0,-1
6.07,4,2.75,2820,8009,2.0,A0,3.0,,0,2820,14.0,-1
6.5,3,2.5,2980,16996,2.0,A0,,10.0,0,2980,23.0,-1
7.75,5,2.75,3430,15119,2.0,A0,3.0,10.0,0,3430,17.0,-1
3.28,2,1.0,894,1552,2.0,A0,3.0,7.0,0,1131,4.0,-1
1.56,4,2.0,1530,6375,2.0,A0,3.0,7.0,0,1500,73.0,32
2.45,2,1.0,950,4000,1.0,A0,3.0,6.0,0,1480,105.0,-1
